Nombre del vehículo,Velocidad Máxima (Km/h),Aceleración 0 a 100 Km/h (seg),Rango (Km),Carga rápida (Km/h),Europa (€)
Peugeot e-3008 98 kWh Long Range,170.0,8.9,510.0,660.0,54000.0
Kia EV9 99.8 kWh AWD GT-Line,200.0,5.3,425.0,810.0,78173.33333333333
Smart #1 Pro+,180.0,6.7,335.0,520.0,40458.333333333336
NIO ET5 100 kWh,200.0,4.0,500.0,520.0,70100.0
Smart #1 Brabus,180.0,3.9,325.0,500.0,47111.666666666664
NIO ET7 75 kWh,200.0,3.8,400.0,600.0,83400.0
Lotus Eletre,250.0,4.5,495.0,1040.0,95495.0
Zeekr X Privilege AWD,180.0,3.8,345.0,580.0,49480.0
Subaru Solterra AWD,160.0,6.9,320.0,480.0,54626.666666666664
Mini Countryman E,170.0,8.6,380.0,510.0,43023.333333333336
MG MG4 Electric 77 kWh,180.0,6.5,425.0,430.0,41256.666666666664
Tesla Model X Dual Motor,250.0,3.9,475.0,660.0,102321.0
BMW iX2 xDrive30,180.0,5.6,380.0,510.0,57765.0
Hyundai IONIQ 5 Standard Range 2WD,185.0,8.5,295.0,720.0,45546.666666666664
MG MG5 Electric Long Range,185.0,7.7,335.0,330.0,36123.333333333336
Hyundai IONIQ 6 Standard Range 2WD,185.0,8.8,365.0,900.0,44897.5
Dacia Spring Electric 45,125.0,19.1,165.0,180.0,17315.0
Skoda Enyaq Coupe 85,180.0,6.7,480.0,720.0,50193.333333333336
BYD DOLPHIN 44.9 kWh Active,150.0,10.0,255.0,260.0,27996.666666666668
Lexus RZ 450e,160.0,5.6,320.0,480.0,66665.0
Mercedes-Benz EQA 250+,160.0,8.6,420.0,500.0,51500.333333333336
Volkswagen ID.7 Tourer GTX,180.0,6.0,480.0,770.0,65000.0
BYD SEAL U 87 kWh Design,175.0,9.6,405.0,370.0,45990.0
Volvo EX40 Single Motor ER,180.0,7.3,400.0,600.0,51730.0
Polestar 2 Standard Range Single Motor,205.0,6.4,405.0,480.0,45391.666666666664
Volkswagen ID. Buzz GTX,160.0,6.5,335.0,520.0,73333.33333333333
